CIK,CompanyName,Category,Assets,Liabilies,PretaxIncome_Dom,PretaxIncome_For,PropertyPlantEquip,Tax_For,Tax_Total,Mean_TH,Haven_Aggressiveness
1474903,Bg Staffing Inc,Services,100.269,34.567,21.409,0,2.557,0,3.859,0,1
36840,First Real Estate Inv Tr Nj,"Finance, Insurance, And Real Estate",392.073,367.729,0.966,0,NA,0,0,0.5,3
1372612,Box Inc,Services,650.161,618.756,-90.408,-42.806,137.703,1.885,1.398,0.25,2
1428875,Servicemaster Global Hldgs,Services,5023,2819,-130,4,201,1,37,0.042,1
1422183,Fs Kkr Capital Corp,"Finance, Insurance, And Real Estate",7705,3539,NA,NA,0,0,0,0,1
1069899,Phibro Animal Health Corp,Manufacturing,671.679,486.725,19.819,68.251,130.108,15.268,23.187,0.348,2
1590955,Paycom Software Inc,Services,1521.926,1187.173,NA,NA,176.962,0,37.646,0,1
1604028,Advanced Drainage Systems,Manufacturing,1042.159,541.524,103.559,8.051,398.891,2.05,30.049,0.25,2
1596946,Quotient Ltd,Manufacturing,177.77,156.681,NA,NA,47.293,0,0.044,0.5,3
825542,Scotts Miracle-Gro Co,Manufacturing,3054.5,2694.9,159.5,-43.8,530.8,0.2,-11.9,0.188,1
857737,Iconix Brand Group Inc,"Finance, Insurance, And Real Estate",632.075,743.673,-119.031,35.9,4.881,9.212,6.538,0.333,2
1598646,Minerva Neurosciences Inc,Manufacturing,139.136,48.871,NA,NA,0.033,0,0,1,5
1596783,Catalent Inc,Manufacturing,4531.1,3444.4,13.3,138.7,1270.6,24.9,68.4,0.2,1
1601046,Keysight Technologies Inc,Manufacturing,5824,3391,-532,121,555,75,-576,0.25,2
1599617,Now Inc,Wholesale Trade,1795,581,39,19,106,6,6,0.357,2
1474464,New York Reit Inc,"Finance, Insurance, And Real Estate",376.453,3.897,NA,NA,0,NA,NA,0,1
1594466,Parsley Energy Inc,Mining,9391.363,3071.628,NA,NA,8823.887,0,105.475,0,1
1470099,Mobileiron Inc,Services,210.387,156.27,-44.137,2.4,7.046,1.454,1.347,0,1
884713,Cott Corp Que,Manufacturing,3175.5,2005.1,-26.1,50.2,624.7,2.3,-4.8,0.19,1
1594686,Washington Prime Group Inc,"Finance, Insurance, And Real Estate",4361.288,3209.752,110.187,0,NA,NA,1.532,0,1
1592379,Papa Murphy's Holdings Inc,Retail Trade,246.724,147.701,NA,NA,14.667,0,1.483,0,1
1176948,Ares Management Corp,"Finance, Insurance, And Real Estate",10154.692,8760.351,NA,NA,65.069,6.738,32.202,0.3,2
858339,Caesars Entertainment Corp,Services,25775,22437,205,-22,16045,9,-121,0.3,2
1032033,Slm Corp,"Finance, Insurance, And Real Estate",26638.173,23665.517,NA,NA,105.504,0,71.853,0,1
1604665,Westlake Chemical Prtnrs Lp,Manufacturing,1462.125,528.044,NA,NA,1148.265,0,0.022,0,1
1597672,Rayonier Advanced Materials,Manufacturing,2679.086,1972.215,NA,NA,1381.039,10.115,43.793,0,1
1600470,Montage Resources Corp,Mining,1433.769,746.283,NA,NA,1296.358,0,0,0,1
1582568,Pbf Logistics Lp,"Transportation, Communications, Electric, Gas, And Sanitary Services",956.353,763.163,NA,NA,862.117,0,0,0,1
876883,Mdc Partners Inc,Services,1611.573,1806.994,NA,NA,88.189,NA,31.603,0.385,2
1500435,Gopro Inc,Manufacturing,698.359,486.247,-110.318,2.643,46.567,4.394,1.359,0.6,3
1437402,Ardelyx Inc,Manufacturing,183.332,67.519,NA,NA,5.611,0,0.004,1,5
945764,Denbury Resources Inc,Mining,4723.222,3581.445,NA,NA,4318.61,0,87.233,0,1
1603145,Nextera Energy Partners Lp,"Transportation, Communications, Electric, Gas, And Sanitary Services",9405,3867,NA,NA,6770,NA,6,0,1
1297184,Amphastar Pharmaceuticls Inc,Manufacturing,513.563,149.204,3.58,-13.506,210.418,0.773,-3.266,0.25,2
1413837,First Foundation Inc,"Finance, Insurance, And Real Estate",5840.412,5281.228,NA,NA,9.145,NA,17.128,0,1
1601712,Synchrony Financial,"Finance, Insurance, And Real Estate",106792,92114,3628,16,NA,17,854,0.2,1
1606757,Kimball Electronics Inc,Manufacturing,608.758,253.231,5.609,39.166,137.21,11.982,28.023,0.375,2
1599947,Terraform Power Inc,"Transportation, Communications, Electric, Gas, And Sanitary Services",9330.354,6561.937,NA,NA,6470.026,NA,-12.29,0.308,2
1596532,Arista Networks Inc,Manufacturing,3081.983,938.594,136.818,151.983,75.355,10.451,-39.314,0.421,3
1582554,Matinas Biopharma Hldgs Inc,Manufacturing,19.943,3.801,NA,NA,2.043,0,-0.507,0,1
858877,Cisco Systems Inc,Manufacturing,108784,65580,3765,9274,3006,1789,12929,0.261,2
1061630,Blackstone Mortgage Tr Inc,"Finance, Insurance, And Real Estate",14467.375,11092.768,NA,NA,NA,NA,0.308,0.25,2
1484565,Soleno Therapeutics Inc,Manufacturing,43.151,12.738,-11.83,-0.011,0.012,0,0,0,1
859737,Hologic Inc,Manufacturing,7230.9,4802.1,-581.9,163.3,478.2,21.9,-307.3,0.367,2
1371285,Trupanion Inc,"Finance, Insurance, And Real Estate",207.51,78.337,-1.054,0.12,69.803,0.037,-0.007,0.25,2
902739,Nbcuniversal Media Llc,"Transportation, Communications, Electric, Gas, And Sanitary Services",75014,27844,NA,NA,13189,393,351,0.148,1
1597553,Sage Therapeutics Inc,Manufacturing,952.705,89.734,NA,NA,5.643,0,0,0.667,4
1610466,Shell Midstream Partners Lp,"Transportation, Communications, Electric, Gas, And Sanitary Services",1913.5,2170.5,NA,NA,742.4,0,0.4,0,1
1515816,Plymouth Indl Reit Inc,"Finance, Insurance, And Real Estate",470.163,346.243,NA,NA,NA,0,0,0,1
1704720,Cannae Holdings Inc,Retail Trade,1459.5,259.8,NA,NA,176.4,NA,13.1,0,1
1566445,Bre Select Hotels Corp,"Finance, Insurance, And Real Estate",851.22,738.272,NA,NA,0,0,4.055,0,1
1604464,Atara Biotherapeutics Inc,Manufacturing,391.839,52.982,-230.765,0.022,68.576,0.002,-0.044,0.667,4
1611702,Brightsphere Invest Grp Plc,"Finance, Insurance, And Real Estate",1553.7,1377.6,113.8,21.4,49,11,5,0,1
1596961,Rumbleon Inc,Retail Trade,108.926,78.108,NA,NA,5.178,0,0,0,1
1610092,Diplomat Pharmacy Inc,Retail Trade,1476.359,1011.275,NA,NA,34.525,0,-5.039,0,1
727207,Accelerate Diagnostics Inc,Manufacturing,185.265,127.89,-67.508,-20.607,7.303,0.197,0.211,0.286,2
1025362,Golden Queen Mining Co Ltd,Mining,243.938,87.381,NA,NA,185.328,0,0.534,0,1
1611983,Liberty Broadband Corp,Services,12098.437,1499.819,NA,NA,0,0,21.924,0.5,3
